stratégie,ann_return_pct,sharpe,sortino,mdd_pct,n_obs
1/N,3.9981158348729147,0.481647893069788,0.6877933415145111,-16.015562249494188,211
RW-DCC,3.795299460690936,0.32062406648287156,0.40018328115680213,-19.104104731609553,211
RW-DCC-S,3.9048821232293482,0.2825820015356296,0.37856411303174026,-22.611208826751756,211
RW-ADCC,3.8068009595740824,0.32213780363415856,0.4030929646251228,-19.081137759325266,211
RW-ADCC-S,3.946061610790451,0.28741605651088614,0.3844183543470033,-22.45459630140353,211
RW-GAS,3.9043471908091765,0.31314767929120524,0.3719232420217434,-20.30802935078207,211
RW-GAS-S,4.439308247841281,0.3305153022585772,0.4410373481295121,-23.566941549669117,211
SC-SVR-DCC,3.8206567905772295,0.20948194674421308,0.2643216594921322,-36.92253492950428,211
SC-SVR-DCC-S,3.5661562081298808,0.19375718057569577,0.24123923437063985,-31.74355590478186,211
SC-SVR-ADCC,3.8538135418100925,0.21259862768398186,0.26737902706113376,-36.954603419521774,211
SC-SVR-ADCC-S,3.576333334123073,0.1947670262084343,0.2417605926733682,-31.657301013393813,211
SC-SVR-GAS,3.496052650095888,0.17070789743328996,0.20405021495549142,-42.78900339878207,211
SC-SVR-GAS-S,3.951676664032342,0.22118597526887604,0.28158449178355577,-34.15298505078514,211
DMA-DCC,2.247660228486108,0.09550751652521451,0.1294653770857164,-17.907572459717777,211
DMA-DCC-S,3.2843503486164973,0.21308779020483573,0.29589179259465,-28.380694244726463,211
DMA-ADCC,2.242601338759269,0.09474861854257634,0.12830347767746184,-17.907572099285154,211
DMA-ADCC-S,3.2781968046892254,0.21233230886767362,0.29446028882858616,-28.380699823209248,211
DMA-GAS,2.3540678583115935,0.10997195722447797,0.15042483240692145,-17.885912847245052,211
DMA-GAS-S,3.435186471270247,0.2294351683289647,0.316244807673619,-29.0953062658712,211
