Panel,Models,Annualized return (%),Return/CVaR,Sortino ratio,MDD (%),CDB
Panel A,MKT,3.68,0.269,0.308,54.108,
Panel A,SMB,3.772,0.386,0.511,22.657,
Panel A,HML,3.583,0.354,0.495,28.318,
Panel A,RMW,4.625,0.352,0.484,23.266,
Panel A,CMA,3.942,0.906,1.249,14.675,
Panel A,1/N,3.92,0.956,1.153,16.016,0.926
Panel B,RW-DCC-SKT,4.115,0.554,0.751,20.781,0.519
Panel B,RW-ADCC-SKT,3.783,0.53,0.733,19.94,0.605
Panel B,RW-GAS-SKT,3.906,0.566,0.785,22.25,0.644
Panel B,Average,3.934,0.55,0.757,20.99,0.589
Panel B,SC-SVR-DCC-SKT,3.701,0.349,0.479,34.779,0.0
Panel B,SC-SVR-ADCC-SKT,3.855,0.363,0.493,33.749,0.0
Panel B,SC-SVR-GAS-SKT,3.628,0.313,0.415,40.231,
Panel B,Average,3.728,0.342,0.462,36.253,0.0
Panel B,DMA-DCC-SKT,2.626,0.452,0.557,17.883,0.836
Panel B,DMA-ADCC-SKT,2.884,0.476,0.6,17.793,0.793
Panel B,DMA-GAS-SKT,3.193,0.554,0.678,17.792,0.845
Panel B,Average,2.901,0.494,0.612,17.823,0.825
Panel B,Total Average,3.521,0.462,0.61,25.022,0.53
Panel B,DCC Average,3.481,0.452,0.596,24.481,0.452
Panel B,ADCC Average,3.507,0.456,0.609,23.827,0.466
Panel B,GAS Average,3.575,0.478,0.626,26.758,0.744
Panel C,RW-DCC-SKT-S,4.722,0.614,0.767,22.269,0.61
Panel C,RW-ADCC-SKT-S,4.238,0.495,0.63,22.021,0.419
Panel C,RW-GAS-SKT-S,5.061,0.645,0.791,24.277,0.544
Panel C,Average,4.674,0.585,0.729,22.856,0.524
Panel C,SC-SVR-DCC-SKT-S,3.636,0.307,0.453,24.621,
Panel C,SC-SVR-ADCC-SKT-S,3.04,0.244,0.366,30.763,
Panel C,SC-SVR-GAS-SKT-S,3.762,0.322,0.462,31.277,0.0
Panel C,Average,3.479,0.291,0.427,28.887,0.0
Panel C,DMA-DCC-SKT-S,3.474,0.469,0.607,26.228,0.76
Panel C,DMA-ADCC-SKT-S,3.823,0.54,0.667,25.991,0.784
Panel C,DMA-GAS-SKT-S,3.914,0.535,0.676,27.677,0.812
Panel C,Average,3.737,0.515,0.65,26.632,0.785
Panel C,Total Average - S,3.963,0.463,0.602,26.125,0.561
Panel C,DCC-S Average,3.944,0.463,0.609,24.373,0.685
Panel C,ADCC-S Average,3.701,0.427,0.554,26.258,0.601
Panel C,GAS-S Average,4.246,0.501,0.643,27.743,0.452
